あたり	中り 当たり 当り 當り
あたりちらさ	当たり散らさ 当り散らさ
あたりちらし	あたり散らし 当たりちらし 当たり散らし 当り散らし
あたりちらす	当たり散らす 当り散らす
あたる	アタる 中る 当たる 当る 當る
あたれ	当たれ 当れ 當れ
あたれる	当たれる 当れる
あっ	あ あッ 会っ 合っ 在っ 有っ 逢っ 遇っ 遭っ 非ッ
あつかい	扱い 扱かい
あつかっ	扱かっ 扱っ
あつかわ	扱かわ 扱わ
あつまら	聚ら 集まら
あつまり	集まり 集り
あつまる	集まる 集る
あつまれ	集まれ 集れ
あつめ	聚め 蒐め 輯め 集め
あつめる	蒐める 集める
あて	中て 充 充て 宛て 当て 當て
あてがい	充てがい 宛がい 宛てがい 宛行い 当てがい
あてがう	充てがう 宛がう 宛てがう 宛行う 当てがう
あてがっ	充てがっ 宛がっ 宛てがっ 宛行っ 当てがっ
あてがわ	充てがわ 宛がわ 宛てがわ 宛行わ 当てがわ
あてこすり	当てこすり 当て擦り
あてこむ	アテコむ 当て込む
あてこん	当てこん 当て込ん
あてつける	当てつける 当て付ける
あてはまっ	当てはまっ 当て嵌まっ
あてはまら	当てはまら 当て嵌まら 当て嵌ら
あてはまり	当てはまり 当て嵌まり 当て嵌り
あてはまる	当てはまる 当て嵌まる 当て嵌る
あてはまれ	当てはまれ 当て嵌まれ
あてはめ	当てはめ 当て嵌め
あてはめよう	当てはめよう 当て嵌めよう
あてはめる	当てはめる 当て嵌める
あてはめれ	当てはめれ 当て嵌めれ
あてよ	充てよ 当てよ
あてよう	アテよう 充てよう 当てよう
あてる	アテる 中てる 充てる 宛てる 当てる 當てる
あてれ	アテれ 充てれ 当てれ
あてろ	宛てろ 当てろ
あとじさっ	後じさっ 後退っ
あとじさり	後じさり 後退り
あとづけ	跡づけ 跡付け
あとづける	跡づける 跡付ける
あは	会は 合は 逢は 遇は
あばい	暴い 発い
あばか	暴か 曝か 発か
あばき	暴き 発き
あばきたて	暴きたて 暴き立て
あばきださ	暴きださ 暴き出さ
あばきだし	あばき出し 暴きだし 暴き出し
あばきだす	あばき出す 暴きだす 暴き出す
あばきだそう	暴きだそう 暴き出そう
あばく	暴く 曝く 発く
あばれまわっ	暴れまわっ 暴れ回っ
あばれまわり	暴れまわり 暴れ回り
あばれまわる	暴れまわる 暴れ回る
あばれまわれ	暴れまわれ 暴れ回れ
あひ	会ひ 合ひ 會ひ 逢ひ 遇ひ
あびせ	浴せ 浴びせ
あびせかけ	浴びせかけ 浴びせ掛け
あびせかける	浴びせかける 浴びせ掛ける
あびせたおし	あびせ倒し 浴びせ倒し
あふ	会ふ 合ふ 逢ふ 遇ふ
あふれかえっ	あふれ返っ 溢れかえっ 溢れ返っ
あふれかえら	あふれ返ら 溢れかえら 溢れ返ら
あふれかえり	あふれ返り 溢れかえり 溢れ返り
あふれかえる	あふれ返る 溢れかえる 溢れ返る
あふれださ	あふれ出さ 溢れ出さ
あふれだし	あふれ出し 溢れだし 溢れ出し
あふれだす	あふれ出す 溢れだす 溢れ出す
あふれで	あふれ出 溢れ出
あふれでる	あふれ出る 溢れ出る
あぶらぎっ	油ぎっ 脂ぎっ
あぶりださ	あぶり出さ 炙り出さ
あぶりだし	あぶり出し 炙り出し 焙り出し
あぶりだす	あぶり出す 炙り出す 焙り出す
あぶりだそう	あぶり出そう 炙り出そう
あへ	会へ 合へ 逢へ
あまかける	天かける 天翔ける 天翔る
あまくだっ	天下っ 天降っ
あまくだり	天下り 天降り
あまくだる	天下る 天降る
あます	余す 餘す
あまてらす	天てらす 天照らす
あまら	余ら 剰ら
あまり	余り 剰り
あまれ	余れ 餘れ
あみあげ	編みあげ 編み上げ 編上げ
あみあげる	編みあげる 編み上げる
あみこま	編みこま 編み込ま
あみこみ	編みこみ 編み込み
あみこむ	編みこむ 編み込む
あみこん	編みこん 編み込ん
あみださ	あみ出さ 編みださ 編み出さ
あみだし	あみ出し 編みだし 編み出し 編出し
あみだす	編みだす 編み出す
あやしみ	怪しみ 怪み
あやしむ	怪しむ 怪む
あやしん	怪しん 怪ん
あやぶま	危ぶま 危ま
あやぶみ	危ぶみ 危み
あやぶむ	危ぶむ 危む
あやぶめ	危ぶめ 危め
あやぶん	危ぶん 危ん
あやまっ	誤っ 誤まっ 誤ッ 謝っ 謝まっ
あやまら	誤まら 誤ら 謝ら
あやまらさ	誤らさ 謝らさ
あやまり	誤まり 誤り 謝まり 謝り 謬り
あやまる	誤まる 誤る 謝まる 謝る 謬る
あやまれ	誤れ 謝れ 謬れ
あやまろう	誤ろう 謝ろう
あゆみだす	あゆみ出す 歩み出す
あゆみより	歩みより 歩み寄り
あゆみよる	歩みよる 歩み寄る
あら	在ら 有ら 莫ら
あらいあげ	洗いあげ 洗い上げ
あらいおとし	洗い落し 洗い落とし
あらいおとそう	洗い落そう 洗い落とそう
あらいきよめ	洗い浄め 洗い清め
あらいきよめる	洗い浄める 洗い清める
あらいなおさ	洗いなおさ 洗い直さ
あらいなおし	洗いなおし 洗い直し
あらいなおす	洗いなおす 洗い直す
あらくれ	荒くれ 荒らくれ
あらさ	荒さ 荒らさ
あらし	荒し 荒らし
あらしまわっ	荒しまわっ 荒し回っ 荒らし回っ
あらしまわり	荒し回り 荒らし回り
あらしまわる	荒しまわる 荒し回る 荒らし回る
あらす	荒す 荒らす
あらそう	争う 荒そう 荒らそう
あらたまっ	改まっ 革まっ
あらたまら	改まら 改ら 革ら
あらたまり	改まり 革まり
あらたまる	改まる 革まる
あらたまれ	改まれ 改れ
あらため	改ため 改め 検め 革め
